"ee.Taxon","N","Definition"
"mouse",2,"type II pneumocyte"
"mouse",2,"epithelial cell of alveolus of lung"
"mouse",2,"lung secretory cell"
"mouse",2,"alveolar sac"
"mouse",2,"alveolus of lung"
"mouse",2,"alveolus"
"mouse",2,"pulmonary alveolus epithelium"
"mouse",2,"alveolar wall"
"mouse",2,"alveolar system"
"mouse",2,"ependymal cell"
"mouse",2,"striatum neuron"
"human",2,"early embryonic cell"
"human",2,"animal zygote"
"human",2,"single fate stem cell"
"human",2,"epithelial fate stem cell"
"human",2,"basal cell"
"mouse",2,"bulb of hair follicle"
"mouse",2,"thymus epithelium"
"human",2,"inferior parietal cortex"
"mouse",2,"primary oocyte"
"mouse",2,"primary neuron"
"mouse",2,"metaphysis"
"mouse",2,"vascular associated smooth muscle cell"
"mouse",2,"pancreatic ductal cell"
"mouse",2,"epithelial cell of exocrine pancreas"
"mouse",2,"ventral pancreatic duct"
"mouse",2,"pancreatic duct"
"mouse",2,"T follicular helper cell"
"mouse",2,"proerythroblast"
"mouse",2,"basophilic erythroblast"
"human",2,"radial glial cell"
"mouse",2,"choroid plexus of fourth ventricle"
"mouse",2,"choroid plexus of lateral ventricle"
"mouse",2,"cerebellum vasculature"
"mouse",2,"inner ear epithelium"
"human",2,"cellular anatomical entity"
"human",2,"myometrial cell"
"human",2,"uterine smooth muscle cell"
"mouse",2,"hippocampal pyramidal neuron"
"mouse",2,"Meynert cell"
"mouse",2,"common myeloid progenitor, CD34-positive"
"mouse",2,"type B pancreatic cell"
"mouse",2,"inguinal lymph node"
"human",2,"ganglionic eminence"
"human",2,"medial ganglionic eminence"
"human",2,"cortical layer V"
"human",2,"dorsolateral prefrontal cortex layer 3"
"human",2,"dorsolateral prefrontal cortex layer 5"
"human",2,"glutamatergic neuron"
"rat",2,"right cerebral hemisphere"
"mouse",2,"nerve fasciculus"
"mouse",2,"solitary tract nuclear complex"
"mouse",2,"nucleus of solitary tract"
"mouse",2,"vagus nerve nucleus"
"mouse",2,"membrane-bounded organelle"
"mouse",2,"dorsal funiculus of spinal cord"
"mouse",2,"spinal cord dorsal column"
"mouse",2,"neuron projection bundle connecting eye with brain"
"human",2,"sensory neuron"
"human",2,"afferent neuron"
"mouse",2,"retinal blood vessel endothelial cell"
"mouse",2,"posterior neural tube"
"human",2,"retinal blood vessel endothelial cell"
"rat",2,"juvenile stage"
"human",2,"chondrocranium"
"human",2,"primary subdivision of cranial skeletal system"
"human",2,"neurocranium bone"
"rat",2,"trigeminal nerve"
"human",2,"neurectoderm"
"mouse",2,"rod bipolar cell"
"rat",2,"white matter"
"rat",2,"brain white matter"
"mouse",2,"superior olivary complex"
"mouse",2,"medial nucleus of trapezoid body"
"mouse",2,"nucleus of superior olivary complex"
"mouse",2,"nucleus of trapezoid body"
"mouse",2,"primary superior olive"
"human",2,"fusiform gyrus"
"mouse",2,"molecular entity"
"mouse",2,"chemical entity"
"mouse",2,"heteroorganic entity"
"mouse",2,"pnictogen molecular entity"
"mouse",2,"main group molecular entity"
"mouse",2,"carbon group molecular entity"
"mouse",2,"p-block molecular entity"
"mouse",2,"organonitrogen compound"
"mouse",2,"organic amino compound"
"mouse",2,"organic molecular entity"
"mouse",2,"nitrogen molecular entity"
"rat",2,"gustatory system"
"rat",2,"vagus nerve"
"rat",2,"sympathetic nervous system"
"rat",2,"sympathetic trunk"
"rat",2,"autonomic ganglion"
"rat",2,"sympathetic ganglion"
"rat",2,"paravertebral ganglion"
"rat",2,"autonomic nervous system"
"rat",2,"ganglion of peripheral nervous system"
"rat",2,"trunk ganglion"
"mouse",2,"autonomic neuron"
"mouse",2,"peripheral nervous system neuron"
"rat",2,"insula"
"mouse",2,"cell in vitro"
"human",2,"cholinergic neuron"
"human",2,"retinal ganglion cell"
"human",2,"astrocyte of the cerebellum"
"human",2,"astrocyte of the cerebral cortex"
"human",2,"astrocyte of the forebrain"
"human",2,"cerebral cortex glial cell"
"mouse",2,"nucleus of midbrain tectum"
"mouse",2,"torus semicircularis"
"mouse",2,"ventrolateral nucleus"
"rat",2,"telencephalic ventricle"
"rat",2,"choroid plexus of lateral ventricle"
"human",2,"Viruses"
"mouse",2,"dura mater"
"mouse",2,"rhombomere"
"mouse",2,"neuromere"
"mouse",2,"future brain"
"mouse",2,"presumptive hindbrain"
"mouse",2,"neural tube mantle layer"
"mouse",2,"neural tube alar plate"
"mouse",2,"differentiating neuroepithelium"
"mouse",2,"autonomic nerve plexus"
"mouse",2,"superior mesenteric ganglion"
"mouse",2,"superior mesenteric plexus"
"mouse",2,"mesenteric ganglion"
"mouse",2,"mesenteric plexus"
"rat",2,"adenohypophysis"
"mouse",2,"lateral ganglionic eminence"
"human",2,"glioblast"
"mouse",2,"corneal epithelium"
"human",2,"cortical interneuron"
"mouse",2,"sequence_feature"
"mouse",2,"gene"
"mouse",2,"protein_coding_gene"
"human",2,"sequence_feature"
"human",2,"gene"
"human",2,"protein_coding_gene"
"human",2,"CD34 (human)"
"mouse",2,"cortical interneuron"
"mouse",2,"nervous system development"
"mouse",2,"neurogenesis"
"mouse",2,"neuron differentiation"
"mouse",2,"generation of neurons"
"human",2,"myoblast"
"human",2,"muscle precursor cell"
"mouse",1,"life cycle temporal boundary"
"mouse",1,"start of neonate stage"
"mouse",1,"cutaneous appendage"
"mouse",1,"strand of hair"
"mouse",1,"urinary bladder smooth muscle"
"mouse",1,"caput epididymis"
"mouse",1,"cauda epididymis"
"mouse",1,"anatomical projection"
"mouse",1,"adult organism"
"mouse",1,"gravid organism"
"mouse",1,"collection of hairs"
"mouse",1,"coat of hair"
"mouse",1,"strand of pelage hair"
"mouse",1,"strand of awl hair"
"mouse",1,"integumentary projection"
"human",1,"ciliary muscle cell"
"human",1,"apical region of left ventricle"
"human",1,"apical region of heart ventricle"
"mouse",1,"rectum"
"mouse",1,"body of stomach"
"mouse",1,"anal region"
"mouse",1,"terminal part of digestive tract"
"mouse",1,"internal anal region"
"mouse",1,"sacral spinal cord"
"human",1,"germinal center"
"mouse",1,"lateral amygdaloid nucleus"
"rat",1,"astrocyte of the hippocampus"
"rat",1,"astrocyte of the cerebral cortex"
"rat",1,"astrocyte of the forebrain"
"rat",1,"cerebral cortex glial cell"
"rat",1,"hippocampus glial cell"
"rat",1,"brain macroglial cell"
"mouse",1,"corticotectal tract"
"mouse",1,"ventral horn of spinal cord spinal cord motor neuron"
"mouse",1,"facial nucleus"
"mouse",1,"pharyngeal arch 1"
"mouse",1,"1st arch mandibular component"
"mouse",1,"1st arch maxillary component"
"human",1,"stellate neuron"
"rat",1,"oculomotor nuclear complex"
"rat",1,"adrenal medulla"
"human",1,"supraoptic nucleus"
"human",1,"anterior hypothalamic region"
"human",1,"hippocampal neuron"
"human",1,"left parietal lobe"
"human",1,"right parietal lobe"
"human",1,"left occipital lobe"
"human",1,"right occipital lobe"
"human",1,"right temporal lobe"
"human",1,"right frontal lobe"
"human",1,"left frontal lobe"
"human",1,"right cerebral hemisphere"
"human",1,"right hemisphere of cerebellum"
"human",1,"pyloric sphincter"
"human",1,"papilla of tongue"
"human",1,"mucosa of tongue"
"human",1,"dorsum of tongue"
"human",1,"body of tongue"
"rat",1,"lateral zone of hypothalamus"
"rat",1,"lateral hypothalamic area"
"rat",1,"locus ceruleus"
"rat",1,"nucleus raphe magnus"
"rat",1,"medullary raphe nuclear complex"
"human",1,"insulating cell"
"human",1,"myelinating Schwann cell"
"human",1,"myelin accumulating cell"
"human",1,"Brodmann (1909) area 4"
"rat",1,"ninth thoracic spinal cord segment"
"rat",1,"tenth thoracic spinal cord segment"
"mouse",1,"premotor cortex"
"rat",1,"cortical granule cell"
"rat",1,"dentate gyrus of hippocampal formation granule cell"
"rat",1,"cornea"
"rat",1,"ocular surface region"
"rat",1,"tunica fibrosa of eyeball"
"mouse",1,"perirhinal cortex"
"human",1,"cranial nerve II"
"human",1,"lens of camera-type eye"
"human",1,"transparent eye structure"
"rat",1,"synovial cell"
"rat",1,"multilaminar epithelium"
"rat",1,"synovial membrane of synovial joint"
"rat",1,"stratified squamous epithelium"
"rat",1,"layer of synovial tissue"
"mouse",1,"fundus of stomach"
"rat",1,"nasal cavity respiratory epithelium"
"rat",1,"respiratory segment of nasal mucosa"
"human",1,"anterior cingulate gyrus"
"rat",1,"temporal bone"
"rat",1,"petrous part of temporal bone"
"rat",1,"neurocranium"
"rat",1,"bony labyrinth"
"rat",1,"cochlea"
"rat",1,"internal ear"
"rat",1,"membranous labyrinth"
"rat",1,"cochlear duct of membranous labyrinth"
"rat",1,"chondrocranium"
"rat",1,"stria vascularis of cochlear duct"
"rat",1,"cochlear labyrinth"
"rat",1,"basicranium"
"rat",1,"cranium"
"rat",1,"skull"
"rat",1,"vestibular system"
"rat",1,"cochlear modiolus"
"rat",1,"osseus cochlea"
"rat",1,"pneumatized bone"
"rat",1,"cranial skeletal system"
"rat",1,"axial skeletal system"
"rat",1,"primary subdivision of skull"
"rat",1,"primary subdivision of cranial skeletal system"
"mouse",1,"life span"
"mouse",1,"qualitative"
"mouse",1,"deviation(from_normal)"
"mouse",1,"time"
"mouse",1,"physical quality"
"mouse",1,"increased life span"
"mouse",1,"increased quality"
"mouse",1,"increased object quality"
"human",1,"ascending aorta"
"human",1,"thoracic aorta"
"rat",1,"hypodermis"
"rat",1,"subcutaneous adipose tissue"
"rat",1,"integumentary system layer"
"mouse",1,"caudate nucleus"
"human",1,"distal metaphysis"
"human",1,"distal metaphysis of femur"
"human",1,"metaphysis of femur"
"rat",1,"chondrocyte"
"rat",1,"collagen secreting cell"
"rat",1,"articular chondrocyte"
"rat",1,"knee"
"rat",1,"articular cartilage of joint"
"human",1,"chest organ"
"human",1,"thoracic mammary gland"
"rat",1,"esophagus"
"rat",1,"upper digestive tract"
"human",1,"descending aorta"
"human",1,"abdominal aorta"
"mouse",1,"anucleate cell"
"mouse",1,"platelet"
"mouse",1,"steroid hormone secreting cell"
"mouse",1,"granulosa cell"
"mouse",1,"cumulus oophorus"
"mouse",1,"ovary stroma"
"human",1,"conjunctival epithelial cell"
"human",1,"odontoblast"
"human",1,"tooth enamel organ"
"mouse",1,"saccule of membranous labyrinth"
"human",1,"lateral globus pallidus"
"human",1,"lateral nuclear group of thalamus"
"human",1,"cerebellar vermis"
"human",1,"surface of tongue"
"human",1,"superior surface of tongue"
"human",1,"prevertebral muscle"
"human",1,"anatomical surface region"
"rat",1,"occipital lobe"
"rat",1,"occipital cortex"
"rat",1,"suprachiasmatic nucleus"
"rat",1,"medial zone of hypothalamus"
"rat",1,"preoptic nucleus"
"human",1,"cortical layer II"
"mouse",1,"tracheal epithelial cell"
"rat",1,"brown adipose tissue"
"rat",1,"perirenal fat"
"mouse",1,"lysozyme secreting cell"
"mouse",1,"paneth cell"
"human",1,"Brodmann (1909) area 6"
"rat",1,"pyramidal layer of CA1"
"rat",1,"layer of CA1 field"
"rat",1,"putamen"
"mouse",1,"eighth thoracic spinal cord segment"
"mouse",1,"thoracic subsegment of spinal cord"
"mouse",1,"secondary somatosensory cortex"
"mouse",1,"operculum of brain"
"rat",1,"intestine smooth muscle"
"rat",1,"gastrointestinal system smooth muscle"
"rat",1,"small intestine smooth muscle"
"rat",1,"cortical subplate"
"rat",1,"layer of developing cerebral cortex"
"human",1,"duodenal mucosa"
"human",1,"cerebral cortex endothelial cell"
"human",1,"brain endothelium"
"human",1,"iliac crest"
"human",1,"CD16-positive myeloid dendritic cell"
"human",1,"immature CD16-positive myeloid dendritic cell"
"rat",1,"wall of stomach"
"rat",1,"subfornical organ"
"human",1,"epiphysis"
"human",1,"distal epiphysis"
"human",1,"epiphysis of femur"
"human",1,"distal epiphysis of femur"
"human",1,"condyle"
"human",1,"condyle of femur"
"rat",1,"subclavian artery"
"rat",1,"vertebral artery"
"rat",1,"basilar artery"
"rat",1,"posterior cerebral artery"
"rat",1,"spinal artery"
"rat",1,"branch of vertebral artery"
"rat",1,"branch of basilar artery"
"human",1,"jejunal mucosa"
"human",1,"gastrocnemius"
"human",1,"triceps surae"
"mouse",1,"cheek"
"mouse",1,"eyelid"
"mouse",1,"tarsal gland"
"mouse",1,"sebaceous gland"
"mouse",1,"parotid gland"
"mouse",1,"sublingual gland"
"mouse",1,"eye sebaceous gland"
"mouse",1,"skin sebaceous gland"
"mouse",1,"head connective tissue"
"mouse",1,"eyelid connective tissue"
"mouse",1,"eye skin gland"
"mouse",1,"eyelid tarsus"
"mouse",1,"buccal salivary gland"
"mouse",1,"holocrine gland"
"mouse",1,"eyelid gland"
"mouse",1,"sebaceous gland of eyelid"
"mouse",1,"modified sebaceous gland"
"rat",1,"regional part of cerebellar cortex"
"rat",1,"cerebellar vermis"
"mouse",1,"CD4-positive, alpha-beta memory T cell"
"rat",1,"uterine wall"
"rat",1,"myometrium"
"rat",1,"layer of smooth muscle tissue"
"human",1,"transitional epithelial cell"
"human",1,"urothelial cell"
"rat",1,"pontine nuclear group"
"rat",1,"basal part of pons"
"rat",1,"endocrine cell"
"rat",1,"steroid hormone secreting cell"
"rat",1,"granulosa cell"
"rat",1,"follicular cell of ovary"
"mouse",1,"interatrial septum"
"mouse",1,"atrioventricular canal"
"mouse",1,"conducting system of heart"
"mouse",1,"atrioventricular node"
"mouse",1,"cardiac muscle tissue of interatrial septum"
"mouse",1,"cardiac muscle tissue of cardiac septum"
"mouse",1,"conducting tissue of heart"
"mouse",1,"atrioventricular region"
"rat",1,"trachea"
"mouse",1,"nasopharynx"
"mouse",1,"mucosa-associated lymphoid tissue"
"mouse",1,"gut-associated lymphoid tissue"
"mouse",1,"epithelium-associated lymphoid tissue"
"mouse",1,"nasal-associated lymphoid tissue"
"rat",1,"central gray substance"
"rat",1,"primary somatosensory cortex"
"rat",1,"vein"
"rat",1,"thoracic cavity vein"
"rat",1,"venous blood vessel"
"rat",1,"vena cava"
"rat",1,"venous system"
"rat",1,"interneuron"
"rat",1,"CNS interneuron"
"rat",1,"spinal cord interneuron"
"rat",1,"ventral horn of spinal cord"
"mouse",1,"tendon"
"mouse",1,"regular connective tissue"
"mouse",1,"dense regular connective tissue"
"rat",1,"diaphysis of femur"
"rat",1,"biceps femoris"
"rat",1,"muscle of posterior compartment of hindlimb stylopod"
"rat",1,"hindlimb stylopod muscle"
"rat",1,"musculature of hindlimb stylopod"
"human",1,"normal"
"human",1,"extensor muscle"
"human",1,"flexor carpi ulnaris muscle"
"human",1,"extensor carpi radialis brevis muscle"
"human",1,"forelimb zeugopod muscle"
"human",1,"musculature of forelimb zeugopod"
"human",1,"extrinsic extensor muscle of manus"
"human",1,"extensor carpi radialis muscle"
"rat",1,"peritoneum"
"rat",1,"abdominal wall"
"rat",1,"gubernaculum (male or female)"
"rat",1,"serous sac"
"rat",1,"gubernaculum testis"
"rat",1,"nonskeletal ligament"
"rat",1,"peritoneal sac"
"human",1,"spermatocyte"
"human",1,"spermatid"
"mouse",1,"tunica media"
"mouse",1,"blood vessel layer"
"mouse",1,"adventitia"
"mouse",1,"wall of blood vessel"
"mouse",1,"osteoclast"
"mouse",1,"iris"
"mouse",1,"ciliary body"
"mouse",1,"anterior uvea"
"mouse",1,"penis"
"mouse",1,"glans penis"
"mouse",1,"intromittent organ"
"mouse",1,"glans"
"rat",1,"tendon"
"rat",1,"regular connective tissue"
"rat",1,"dense regular connective tissue"
"human",1,"skin of back"
"human",1,"skin of trunk"
"human",1,"skin of abdomen"
"human",1,"skin of leg"
"human",1,"arm skin"
"human",1,"skin of forearm"
"human",1,"abdominal segment skin"
"human",1,"upper leg skin"
"rat",1,"maturity"
"rat",1,"mature"
"rat",1,"organismal quality"
"human",1,"metabolite"
"human",1,"biochemical role"
"human",1,"prokaryotic metabolite"
"human",1,"bacterial metabolite"
"human",1,"Escherichia coli metabolite"
"mouse",1,"calvarial osteoblast"
"rat",1,"anterior cingulate cortex"
"mouse",1,"tibia"
"mouse",1,"hindlimb zeugopod bone"
"mouse",1,"hindlimb zeugopod skeleton"
"mouse",1,"zeugopodial skeleton"
"mouse",1,"tibia endochondral element"
"rat",1,"alveolar macrophage"
"rat",1,"lung macrophage"
"human",1,"buccal epithelium"
"rat",1,"nerve root"
"rat",1,"dorsal root of spinal cord"
"rat",1,"spinal nerve root"
"mouse",1,"brown fat cell"
"human",1,"response to chemical"
"human",1,"response to drug"
"mouse",1,"activated CD8-positive, alpha-beta T cell"
"rat",1,"middle ear"
"rat",1,"tympanic membrane"
"human",1,"epithelium of trachea"
"human",1,"epithelium of bronchiole"
"human",1,"mucosa of bronchiole"
"mouse",1,"pharyngeal muscle"
"mouse",1,"sternocleidomastoid"
"mouse",1,"digastric muscle group"
"mouse",1,"muscle of neck"
"mouse",1,"axial muscle"
"mouse",1,"musculature of neck"
"mouse",1,"musculature of pharynx"
"mouse",1,"hyoid muscle"
"mouse",1,"suprahyoid muscle"
"mouse",1,"cleidocephalicus muscle"
"mouse",1,"brachiocephalic muscle"
"mouse",1,"axial musculature"
"mouse",1,"mesonephric tubule"
"mouse",1,"ureteric bud"
"mouse",1,"pronephros"
"mouse",1,"mesonephric duct"
"mouse",1,"S-shaped body"
"mouse",1,"mesonephric epithelium"
"mouse",1,"metanephric nephron"
"mouse",1,"metanephric S-shaped body"
"mouse",1,"renal medulla collecting duct"
"mouse",1,"renal medulla interstitium"
"mouse",1,"kidney interstitium"
"mouse",1,"pronephric nephron"
"mouse",1,"ureteric bud tip"
"mouse",1,"renal duct"
"mouse",1,"nephric duct"
"mouse",1,"primitive nephron"
"mouse",1,"early proximal tubule"
"human",1,"mucosa of paranasal sinus"
"human",1,"cutaneous appendage"
"human",1,"strand of hair"
"human",1,"hair shaft"
"human",1,"anatomical projection"
"human",1,"bulb of hair follicle"
"human",1,"hair root sheath"
"human",1,"hair inner root sheath"
"human",1,"hair outer root sheath"
"human",1,"hair follicle bulge"
"human",1,"integumentary projection"
"human",1,"skin epithelium"
"mouse",1,"follicular dendritic cell"
"mouse",1,"langerin-positive lymph node dendritic cell"
"mouse",1,"CD103-positive, langerin-positive lymph node dendritic cell"
"human",1,"monoblast"
"human",1,"monopoietic cell"
"human",1,"sperm"
"human",1,"gamete"
"human",1,"male gamete"
"mouse",1,"inner nuclear layer of retina"
"mouse",1,"ganglionic layer of retina"
"mouse",1,"inner plexiform layer of retina"
"human",1,"abdomen musculature"
"human",1,"muscle of abdomen"
"human",1,"rectus abdominis muscle"
"human",1,"anterior abdominal wall muscle"
"human",1,"anterior abdominal wall"
"human",1,"hypaxial musculature"
"human",1,"olivary body"
"human",1,"vagus nerve"
"human",1,"inferior olivary complex"
"human",1,"principal inferior olivary nucleus"
"human",1,"inferior olivary nucleus"
"mouse",1,"myeloid suppressor cell"
"human",1,"tibialis anterior"
"human",1,"triceps brachii"
"human",1,"erector spinae muscle group"
"human",1,"tibialis"
"human",1,"spinalis muscle"
"rat",1,"duodenal mucosa"
"rat",1,"intestinal gland"
"rat",1,"mucosa of small intestine"
"rat",1,"intestinal villus"
"rat",1,"crypt of Lieberkuhn of small intestine"
"rat",1,"crypt of Lieberkuhn"
"rat",1,"intestinal villus of duodenum"
"rat",1,"abdomen connective tissue"
"rat",1,"trunk connective tissue"
"rat",1,"abdominal segment connective tissue"
