"et.Val","ee.Taxon","N"
"cAMP-mediated signaling","mouse",1
"Sar1b [rat] SAR1 homolog B (S. cerevisiae)","rat",1
"Sar1a [rat] SAR1 homolog A (S. cerevisiae)","rat",1
"GRX1 [yeast] Grx1p","yeast",1
"GRX2 [yeast] Grx2p","yeast",1
"GPX2 [yeast] glutathione peroxidase GPX2","yeast",1
"GPX1 [yeast] glutathione peroxidase GPX1","yeast",1
"GLR1 [yeast] glutathione-disulfide reductase GLR1","yeast",1
"Kiss1r [mouse] KISS1 receptor","mouse",1
"Kiss1 [mouse] KiSS-1 metastasis-suppressor","mouse",1
"ZBTB16 [human] zinc finger and BTB domain containing 16","human",1
"Fcer1g [mouse] Fc receptor, IgE, high affinity I, gamma polypeptide","mouse",1
"Chsy1 [mouse] chondroitin sulfate synthase 1","mouse",1
"NPTX1 [human] neuronal pentraxin I","human",1
"Pigr [mouse] polymeric immunoglobulin receptor","mouse",1
"Siah1a [mouse] seven in absentia 1A","mouse",1
"Siah2 [mouse] seven in absentia 2","mouse",1
"MIR520C [human] microRNA 520c","human",1
"Mir466d [mouse] microRNA 466d","mouse",1
"Mir467c [mouse] microRNA 467c","mouse",1
"Mir23b [mouse] microRNA 23b","mouse",1
"Mir30a [mouse] microRNA 30a","mouse",1
"Mir30d [mouse] microRNA 30d","mouse",1
"Mir125a [mouse] microRNA 125a","mouse",1
"Mir337 [mouse] microRNA 337","mouse",1
"Mir466 [mouse] microRNA 466","mouse",1
"Thrsp [mouse] thyroid hormone responsive","mouse",1
"Ankrd2 [mouse] ankyrin repeat domain 2 (stretch responsive muscle)","mouse",1
"Krt5 [mouse] keratin 5","mouse",1
"karyotype","human",1
"Kctd1 [mouse] potassium channel tetramerisation domain containing 1","mouse",1
"Mir127 [mouse] microRNA 127","mouse",1
"Ednra [mouse] endothelin receptor type A","mouse",1
"Wnt3 [mouse] wingless-type MMTV integration site family, member 3","mouse",1
"Cav1 [mouse] caveolin 1, caveolae protein","mouse",1
"SOX4 [human] SRY (sex determining region Y)-box 4","human",1
"IRF9 [human] interferon regulatory factor 9","human",1
"BATF [human] basic leucine zipper ATF-like transcription factor","human",1
"HCST [human] hematopoietic cell signal transducer","human",1
"NR2F6 [human] nuclear receptor subfamily 2 group F member 6","human",1
"IKZF3 [human] IKAROS family zinc finger 3","human",1
"ZHX2 [human] zinc fingers and homeoboxes 2","human",1
"ZBTB38 [human] zinc finger and BTB domain containing 38","human",1
"LCORL [human] ligand dependent nuclear receptor corepressor like","human",1
"FOXA3 [human] forkhead box A3","human",1
"IRF8 [human] interferon regulatory factor 8","human",1
"IRF3 [human] interferon regulatory factor 3","human",1
"IRF5 [human] interferon regulatory factor 5","human",1
"NFYC [human] nuclear transcription factor Y subunit gamma","human",1
"PAX5 [human] paired box 5","human",1
"KLF13 [human] Kruppel like factor 13","human",1
"POU2F2 [human] POU class 2 homeobox 2","human",1
"ARNTL2 [human] aryl hydrocarbon receptor nuclear translocator like 2","human",1
"DIP2B [human] disco interacting protein 2 homolog B","human",1
"RAD21 [human] RAD21 cohesin complex component","human",1
"BCL3 [human] B-cell CLL/lymphoma 3","human",1
"SKIL [human] SKI like proto-oncogene","human",1
"SREBF2 [human] sterol regulatory element binding transcription factor 2","human",1
"TFE3 [human] transcription factor binding to IGHM enhancer 3","human",1
"NELFE [human] negative elongation factor complex member E","human",1
"CLOCK [human] clock circadian regulator","human",1
"NR1D2 [human] nuclear receptor subfamily 1 group D member 2","human",1
"Gh [mouse] growth hormone","mouse",1
"Cxcr3 [mouse] chemokine (C-X-C motif) receptor 3","mouse",1
"Serpine1 [mouse] serine (or cysteine) peptidase inhibitor, clade E, member 1","mouse",1
"ZBTB16 [human] zinc finger and BTB domain containing 16","mouse",1
"PML [human] promyelocytic leukemia","mouse",1
"MIR378A [human] microRNA 378a","mouse",1
"Brca2 [mouse] breast cancer 2","mouse",1
"Krt18 [mouse] keratin 18","mouse",1
"NGFR [human] nerve growth factor receptor","human",1
"MAP2K2 [human] mitogen-activated protein kinase kinase 2","human",1
"RAF1 [human] Raf-1 proto-oncogene, serine/threonine kinase","human",1
"Arhgap5 [mouse] Rho GTPase activating protein 5","mouse",1
"Ptpn2 [mouse] protein tyrosine phosphatase, non-receptor type 2","mouse",1
"Ppp2r2d [mouse] protein phosphatase 2, regulatory subunit B, delta","mouse",1
"Npm1 [mouse] nucleophosmin 1","mouse",1
"Hist1h2aa [mouse] histone cluster 1, H2aa","mouse",1
"Hist1h2ba [mouse] histone cluster 1, H2ba","mouse",1
"CDH11 [human] cadherin 11","human",1
"BRMS1 [human] breast cancer metastasis suppressor 1","human",1
"GSN [human] gelsolin","human",1
"CD82 [human] CD82 molecule","human",1
"KISS1 [human] KiSS-1 metastasis-suppressor","human",1
"ARHGDIB [human] Rho GDP dissociation inhibitor beta","human",1
"DRG1 [human] developmentally regulated GTP binding protein 1","human",1
"NME1 [human] NME/NM23 nucleoside diphosphate kinase 1","human",1
"PEBP1 [human] phosphatidylethanolamine binding protein 1","human",1
"MAP2K6 [human] mitogen-activated protein kinase kinase 6","human",1
"MAP2K4 [human] mitogen-activated protein kinase kinase 4","human",1
"CASP8 [human] caspase 8","human",1
"AKAP12 [human] A-kinase anchoring protein 12","human",1
"Amh [mouse] anti-Mullerian hormone","mouse",1
"Snai2 [mouse] snail family zinc finger 2","mouse",1
"MIR28 [human] microRNA 28","human",1
"haploid","human",1
"ERBB4 [human] erb-b2 receptor tyrosine kinase 4","human",1
"SMO [human] smoothened, frizzled class receptor","human",1
"TRAF7 [human] TNF receptor associated factor 7","human",1
"Cd24a [mouse] CD24a antigen","mouse",1
"Prom1 [mouse] prominin 1","mouse",1
"cerebral cortex","mouse",1
"Mir128-2 [mouse] microRNA 128-2","mouse",1
"SUMO2 [human] small ubiquitin-like modifier 2","mouse",1
"SUMO1 [human] small ubiquitin-like modifier 1","mouse",1
"NSUN2 [human] NOP2/Sun RNA methyltransferase family member 2","human",1
"TAF4 [human] TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa","mouse",1
"FIRRE [human] firre intergenic repeating RNA element","human",1
"Firre [mouse] functional intergenic repeating RNA element","mouse",1
"DNMT1 [human] DNA methyltransferase 1","human",1
"DNMT3B [human] DNA methyltransferase 3 beta","human",1
"Mllt6 [mouse] myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) translocated to, 6","mouse",1
"Hmgcr [rat] 3-hydroxy-3-methylglutaryl-CoA reductase","rat",1
"Nr4a2 [rat] nuclear receptor subfamily 4, group A, member 2","rat",1
"Kat2a [mouse] K(lysine) acetyltransferase 2A","mouse",1
"Mir217 [mouse] microRNA 217","mouse",1
"LMO2 [human] LIM domain only 2 (rhombotin-like 1)","human",1
"CDX2 [human] caudal type homeobox 2","human",1
"ETV2 [human] ETS variant 2","human",1
"FOXC2 [human] forkhead box C2","human",1
"GFI1 [human] growth factor independent 1 transcriptional repressor","human",1
"LYL1 [human] LYL1, basic helix-loop-helix family member","human",1
"NAB2 [human] NGFI-A binding protein 2","human",1
"NFE2 [human] nuclear factor, erythroid 2","human",1
"SPI1 [human] Spi-1 proto-oncogene","human",1
"HAND1 [human] heart and neural crest derivatives expressed 1","human",1
"P2ry14 [mouse] purinergic receptor P2Y, G-protein coupled, 14","mouse",1
"Kansl3 [mouse] KAT8 regulatory NSL complex subunit 3","mouse",1
"Kat8 [mouse] K(lysine) acetyltransferase 8","mouse",1
"Msl1 [mouse] male-specific lethal 1 homolog (Drosophila)","mouse",1
"Msl2 [mouse] male-specific lethal 2 homolog (Drosophila)","mouse",1
"Psmb8 [mouse] proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)","mouse",1
"Psmb10 [mouse] proteasome (prosome, macropain) subunit, beta type 10","mouse",1
"AHR [human] aryl hydrocarbon receptor","human",1
"SENCR [human] smooth muscle and endothelial cell enriched migration/differentiation-associated long non-coding RNA","human",1
"RAB7A [human] RAB7A, member RAS oncogene family","human",1
"Rorc [mouse] RAR-related orphan receptor gamma","mouse",1
"CELF1 [human] CUGBP, Elav-like family member 1","mouse",1
"PRKCI [human] protein kinase C, iota","human",1
"KDM5B [human] lysine (K)-specific demethylase 5B","human",1
"Ppp1r3c [mouse] protein phosphatase 1, regulatory (inhibitor) subunit 3C","mouse",1
"Cdk9 [mouse] cyclin-dependent kinase 9 (CDC2-related kinase)","mouse",1
"KDM6A [human] lysine (K)-specific demethylase 6A","human",1
"Bmpr1a [mouse] bone morphogenetic protein receptor, type 1A","mouse",1
"MTDH [human] metadherin","mouse",1
"UBL5 [human] ubiquitin like 5","human",1
"SART1 [human] squamous cell carcinoma antigen recognized by T-cells 1","human",1
"Mir182 [mouse] microRNA 182","mouse",1
"Mir203 [mouse] microRNA 203","mouse",1
"Mir708 [mouse] microRNA 708","mouse",1
"LUNAR1 [human] leukemia-associated non-coding IGF1R activator RNA 1","human",1
"Cfp1 [mouse] cerebellar folial pattern 1","mouse",1
"PRPF8 [human] pre-mRNA processing factor 8","human",1
"SNW1 [human] SNW domain containing 1","human",1
"Snw1 [mouse] SNW domain containing 1","human",1
"ZMYND11 [human] zinc finger MYND-type containing 11","human",1
"Chd5 [rat] chromodomain helicase DNA binding protein 5","rat",1
"Ptger2 [mouse] prostaglandin E receptor 2 (subtype EP2)","mouse",1
"Polb [mouse] polymerase (DNA directed), beta","mouse",1
"Ubb [mouse] ubiquitin B","mouse",1
"UBB [human] ubiquitin B","mouse",1
"DPPA5 [human] developmental pluripotency associated 5","human",1
"EIF3L [human] eukaryotic translation initiation factor 3, subunit L","human",1
"BEGAIN [human] brain-enriched guanylate kinase-associated","human",1
"RGS18 [human] regulator of G-protein signaling 18","human",1
"SAP130 [human] Sin3A-associated protein, 130kDa","human",1
"CCNK [human] cyclin K","human",1
"TGM5 [human] transglutaminase 5","human",1
"Mef2a [rat] myocyte enhancer factor 2a","rat",1
"Mef2a [mouse] myocyte enhancer factor 2A","rat",1
"Mef2a [mouse] myocyte enhancer factor 2A","mouse",1
"Mef2b [mouse] myocyte enhancer factor 2B","mouse",1
"Sqstm1 [mouse] sequestosome 1","mouse",1
"Pitx3 [mouse] paired-like homeodomain transcription factor 3","mouse",1
"LRRK2 [human] leucine-rich repeat kinase 2","mouse",1
"F5 [mouse] coagulation factor V","mouse",1
"SLC22A18 [human] solute carrier family 22, member 18","human",1
"PDXP [human] pyridoxal (pyridoxine, vitamin B6) phosphatase","human",1
"MIR340 [human] microRNA 340","human",1
"R132H mutation","human",1
"RBPJ [human] recombination signal binding protein for immunoglobulin kappa J region","human",1
"MIR338 [human] microRNA 338","human",1
"PHF5A [human] PHD finger protein 5A","human",1
"NAA30 [human] N(alpha)-acetyltransferase 30, NatC catalytic subunit","human",1
"ST3GAL1 [human] ST3 beta-galactoside alpha-2,3-sialyltransferase 1","human",1
"TTK [human] TTK protein kinase","human",1
"MELK [human] maternal embryonic leucine zipper kinase","human",1
"RNF123 [human] ring finger protein 123","human",1
"WIF1 [human] WNT inhibitory factor 1","human",1
"CDH4 [human] cadherin 4, type 1, R-cadherin (retinal)","human",1
"ZFHX4 [human] zinc finger homeobox 4","human",1
"KCNH5 [human] potassium channel, voltage gated eag related subfamily H, member 5","human",1
"ZFX [human] zinc finger protein, X-linked","human",1
"MXD3 [human] MAX dimerization protein 3","human",1
"T58A mutation","mouse",1
"MycT58A OE dominant negative Trp53","mouse",1
"Trp53 -/- Cdkn2c -/-","mouse",1
"S537N mutation","mouse",1
"Nos2 [mouse] nitric oxide synthase 2, inducible","mouse",1
"DOT1L [human] DOT1-like, histone H3 methyltransferase (S. cerevisiae)","human",1
"Nf2 [mouse] neurofibromatosis 2","human",1
"TAZ [human] tafazzin","human",1
"VPRBP [human] Vpr (HIV-1) binding protein","human",1
"CASZ1 [human] castor zinc finger 1","human",1
"WDR5 [human] WD repeat domain 5","human",1
"SSRP1 [human] structure specific recognition protein 1","human",1
"TFAP2B [human] transcription factor AP-2 beta (activating enhancer binding protein 2 beta)","human",1
"DHODH [human] dihydroorotate dehydrogenase (quinone)","human",1
"MEIS2 [human] Meis homeobox 2","human",1
"DHX9 [human] DEAH (Asp-Glu-Ala-His) box helicase 9","human",1
"KIF1B [human] kinesin family member 1B","human",1
"CHAF1A [human] chromatin assembly factor 1, subunit A (p150)","human",1
"HAGLR [human] HOXD antisense growth-associated long non-coding RNA","human",1
"FST [human] follistatin","mouse",1
"INHBA [human] inhibin, beta A","mouse",1
"FST [human] follistatin","human",1
"INHBA [human] inhibin, beta A","human",1
"IKBKAP [human] inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein","human",1
"KDM1A [human] lysine (K)-specific demethylase 1A","human",1
"Sharpin [mouse] SHANK-associated RH domain interacting protein","mouse",1
"Cyp1a1 [mouse] cytochrome P450, family 1, subfamily a, polypeptide 1","mouse",1
"Cyp1b1 [mouse] cytochrome P450, family 1, subfamily b, polypeptide 1","mouse",1
"Osmr [mouse] oncostatin M receptor","mouse",1
"OSM [human] oncostatin M","mouse",1
"Dsc2 [mouse] desmocollin 2","mouse",1
"Cnot3 [mouse] CCR4-NOT transcription complex, subunit 3","mouse",1
"Sh3gl2 [mouse] SH3-domain GRB2-like 2","mouse",1
"Ttpa [mouse] tocopherol (alpha) transfer protein","mouse",1
"Mcl1 [mouse] myeloid cell leukemia sequence 1","mouse",1
"Intermediate","mouse",1
"Csf2rb2 [mouse] colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)","mouse",1
"Cga [mouse] glycoprotein hormones, alpha subunit","mouse",1
"Cdkn2a (-/-) Pten (-/-)","mouse",1
"Atp8b1 [mouse] ATPase, class I, type 8B, member 1","mouse",1
"PBX1 [human] pre-B-cell leukemia homeobox 1","mouse",1
"Zfp683 [mouse] zinc finger protein 683","mouse",1
"Ly6g [mouse] lymphocyte antigen 6 complex, locus G","mouse",1
"Fbxw7 [mouse] F-box and WD-40 domain protein 7","mouse",1
"Il12a [mouse] interleukin 12a","mouse",1
"Il17a [mouse] interleukin 17A","mouse",1
"Il17ra [mouse] interleukin 17 receptor A","mouse",1
"Abcb1a [mouse] ATP-binding cassette, sub-family B (MDR/TAP), member 1A","mouse",1
"Il23a [mouse] interleukin 23, alpha subunit p19","mouse",1
"Gm20311 [mouse] hepatitis B virus X-interacting protein-like","mouse",1
"AGO2 [fly] Argonaute 2","mouse",1
"MIR122 [human] microRNA 122","mouse",1
"Psmc2 [mouse] proteasome (prosome, macropain) 26S subunit, ATPase 2","mouse",1
"Reln [mouse] reelin","mouse",1
"Srpk2 [mouse] serine/arginine-rich protein specific kinase 2","mouse",1
"Napepld [mouse] N-acyl phosphatidylethanolamine phospholipase D","mouse",1
"Orc5 [mouse] origin recognition complex, subunit 5","mouse",1
"Lhfpl3 [mouse] lipoma HMGIC fusion partner-like 3","mouse",1
"Fbxl13 [mouse] F-box and leucine-rich repeat protein 13","mouse",1
"Armc10 [mouse] armadillo repeat containing 10","mouse",1
"Kmt2e [mouse] lysine (K)-specific methyltransferase 2E","mouse",1
"Pmpcb [mouse] peptidase (mitochondrial processing) beta","mouse",1
"Lrrc17 [mouse] leucine rich repeat containing 17","mouse",1
"Slc26a5 [mouse] solute carrier family 26, member 5","mouse",1
"Med12 [mouse] mediator complex subunit 12","mouse",1
"Clec10a [mouse] C-type lectin domain family 10, member A","mouse",1
"SV40gp6 [Simian virus 40] Large T antigen","mouse",1
"Ybx2 [mouse] Y box protein 2","mouse",1
"Ybx3 [mouse] Y box protein 3","mouse",1
"Car6 [mouse] carbonic anhydrase 6","mouse",1
"Il1rl1 [mouse] interleukin 1 receptor-like 1","mouse",1
"CD3+ T cell culture","mouse",1
"Slamf6 [mouse] SLAM family member 6","mouse",1
"Stk3 [mouse] serine/threonine kinase 3","mouse",1
"Sav1 [mouse] salvador homolog 1 (Drosophila)","mouse",1
"EWSR1 [human] EWS RNA-binding protein 1","mouse",1
"FLI1 [human] Friend leukemia virus integration 1","mouse",1
"Thbs1 [mouse] thrombospondin 1","mouse",1
"Rfk [mouse] riboflavin kinase","mouse",1
"Nos3 [mouse] nitric oxide synthase 3, endothelial cell","mouse",1
"Pgf [mouse] placental growth factor","mouse",1
"Kcnk3 [mouse] potassium channel, subfamily K, member 3","mouse",1
"Pinc [mouse] pregnancy induced noncoding RNA","mouse",1
"Lat2 [mouse] linker for activation of T cells family, member 2","mouse",1
"Bank1 [mouse] B cell scaffold protein with ankyrin repeats 1","mouse",1
"Unc93b1 [mouse] unc-93 homolog B1 (C. elegans)","mouse",1
"Cxcr5 [mouse] chemokine (C-X-C motif) receptor 5","mouse",1
"Actl6b [mouse] actin-like 6B","mouse",1
"Il2rb [mouse] interleukin 2 receptor, beta chain","mouse",1
"Tgfb3 [mouse] transforming growth factor, beta 3","mouse",1
"Mrc1 [mouse] mannose receptor, C type 1","mouse",1
"Ikbkb [mouse] inhibitor of kappaB kinase beta","mouse",1
"DKC1 [human] dyskerin pseudouridine synthase 1","human",1
"ALDH2 [human] aldehyde dehydrogenase 2 family (mitochondrial)","human",1
"Y-linked inheritance","rat",1
"Gli3 [mouse] GLI-Kruppel family member GLI3","mouse",1
"B cell","mouse",1
"Il5 [mouse] interleukin 5","mouse",1
"Rapgef3 [mouse] Rap guanine nucleotide exchange factor (GEF) 3","mouse",1
"PLN [human] phospholamban","mouse",1
"NANOG [human] Nanog homeobox","mouse",1
"DGCR8 [human] DGCR8, microprocessor complex subunit","human",1
"Sf3a1 [mouse] splicing factor 3a, subunit 1","mouse",1
"Mir18 [mouse] microRNA 18","mouse",1
"Mir20a [mouse] microRNA 20a","mouse",1
"Mir19a [mouse] microRNA 19a","mouse",1
"Mir17 [mouse] microRNA 17","mouse",1
"Mir92-1 [mouse] microRNA 92-1","mouse",1
"Rps5 [mouse] ribosomal protein S5","mouse",1
"Zfp407 [mouse] zinc finger protein 407","mouse",1
"Fancd2 [mouse] Fanconi anemia, complementation group D2","mouse",1
"MLLT1 [human] myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) translocated to, 1","mouse",1
"ESR1 [human] estrogen receptor 1","mouse",1
"URI1 [human] URI1, prefoldin-like chaperone","mouse",1
"Lgr5 [mouse] leucine rich repeat containing G protein coupled receptor 5","mouse",1
"Trp63 [mouse] transformation related protein 63","mouse",1
"Trp73 [mouse] transformation related protein 73","mouse",1
"RETN [human] resistin","mouse",1
"Retn [mouse] resistin","mouse",1
"Parg [mouse] poly (ADP-ribose) glycohydrolase","mouse",1
"Kdm4d [mouse] lysine (K)-specific demethylase 4D","mouse",1
"CBX3 [human] chromobox 3","mouse",1
"TFE3 [human] transcription factor binding to IGHM enhancer 3","mouse",1
"ASPSCR1 [human] alveolar soft part sarcoma chromosome region, candidate 1","mouse",1
"CDK12 [human] cyclin dependent kinase 12","human",1
"CDK13 [human] cyclin dependent kinase 13","human",1
"HNRNPR [human] heterogeneous nuclear ribonucleoprotein R","human",1
"SYNCRIP [human] synaptotagmin binding cytoplasmic RNA interacting protein","human",1
"SRSF10 [human] serine and arginine rich splicing factor 10","human",1
"RNPS1 [human] RNA binding protein with serine rich domain 1","human",1
"SRSF8 [human] serine and arginine rich splicing factor 8","human",1
"ACIN1 [human] apoptotic chromatin condensation inducer 1","human",1
"RBMX [human] RNA binding motif protein, X-linked","human",1
"HNRNPH2 [human] heterogeneous nuclear ribonucleoprotein H2 (H')","human",1
"HNRNPK [human] heterogeneous nuclear ribonucleoprotein K","human",1
"HNRNPL [human] heterogeneous nuclear ribonucleoprotein L","human",1
"PCBP2 [human] poly(rC) binding protein 2","human",1
"RBM23 [human] RNA binding motif protein 23","human",1
"SRSF1 [human] serine and arginine rich splicing factor 1","human",1
"SRSF3 [human] serine and arginine rich splicing factor 3","human",1
"SRSF4 [human] serine and arginine rich splicing factor 4","human",1
"SRSF9 [human] serine and arginine rich splicing factor 9","human",1
"RBM39 [human] RNA binding motif protein 39","human",1
"SF3B1 [human] splicing factor 3b subunit 1","human",1
"SMG6 [human] SMG6, nonsense mediated mRNA decay factor","human",1
"XRN1 [human] 5'-3' exoribonuclease 1","human",1
"CASC3 [human] cancer susceptibility candidate 3","human",1
"EIF4A3 [human] eukaryotic translation initiation factor 4A3","human",1
"RBM8A [human] RNA binding motif protein 8A","human",1
"Vim [mouse] vimentin","mouse",1
"Ntsr1 [mouse] neurotensin receptor 1","mouse",1
"Colgalt2 [mouse] collagen beta(1-O)galactosyltransferase 2","mouse",1
"Spp1 [mouse] secreted phosphoprotein 1","mouse",1
"Neb [mouse] nebulin","mouse",1
"Sox6 [mouse] SRY (sex determining region Y)-box 6","mouse",1
"Trim55 [mouse] tripartite motif-containing 55","mouse",1
